movie_id,title,release_year,runtime_minutes,rating,director_name,company_name
906,Зүүдний үргэлжлэл,2009,80,6.8,Ч.Батбаяр,Лоожикфильм (Logicfilm) Мазаалай фильм
907,Эзэнгүй бөгж,2012,72,6.3,Ч.Батбаяр,Лоожикфильм (Logicfilm)
908,Богд хаан,2011,112,6.9,Б.Цогтбаяр,Дээд гэгээн пикчерс Хаанаас үзэх вэ?
909,Хубилай хааны зарлиг,2007,99,6.7,Б.Цогтбаяр,Зохиомж кино компани
910,Их говийн жонон хамлет,2003,80,6.3,Д.Чинбат,Зохиомж кино компани
911,Уучил,2006,80,6.3,Б.Цогтбаяр,Зохиомж кино компани
912,Хайрлаагүй амь,2010,90,6.9,Г.Энхтөр,Score
913,Зүрхээр наадагч,2014,104,8.1,У.Уранчимэг,Хувьсал продакшн
914,Ээжээ надтай гэрлээч,2014,95,7.3,Л.Лхагважаргал,[]
915,Эцсийн зогсоол Э цэг,2014,105,6.6,Б.Ариунболд,Юу Би бета интертайнмент Эрхэс студи
916,Миний хайр,2014,90,7.1,Ц.Золжаргал,Бондоолой фильм
918,Сүүлчийн шөнө,2014,75,6.9,Н.Наранбаатар,Парамайнд арт Тэнгри концепт
920,Эх орон дуудаж байна,2014,80,6.6,Д.Ангараг,А-Артист продакшн Од театр Хаанаас үзэх вэ?
921,Шинэ жилийн адал явдал,2013,80,6.2,Г.Бадамрагчаа,[]
924,Ховч,2009,84,6.3,С.Тимур,[]
925,Мартагдашгүй намар,2012,94,7,Д.Отгонзаяа,Ю Би Эс телевиз
927,Өнөөдөр,2014,90,6.8,Б.Тулгаа,Грийн креатив арт
929,Хүсэл мөрөөдлийн зүгт,2014,74,6.7,Ж.Батбаяр,Голден стейж интертайнмент
930,Бөмбөг,2014,71,7,Л.Лхагвадорж,Лимон студи Гал пикчерс студи
931,Цэн тогоруу,2014,98,6.8,М.Ивээл,Жинжиймаа кино баг
944,Хүрэлдэй: Их хааны элч,2009,92,6.3,Б.Амарсанаа,С Ти студи
946,Чи итгэхгүй л дээ,2009,92,1,У.Батбаатар,Khaangarid Pictures
947,Тютю,2015,95,6.5,Г.Ундармаа,U film Прайм пикчерс
948,Омарын эрэлд,2014,120,6.4,Ж.Сэнгэдорж,Коктайл фильмс
1035,Би хулчгар,2014,80,6.4,Б.Мөнх-Амьдрал,A&O продакшн
1084,650,2009,110,6.2,М.Энхдалай,Шинэ ертөнц продакшн
1227,Би чамд хайртай,1985,87,7.3,Б.Балжинням,[]
1228,Хүний төлөө,1976,87,6.9,Д.Жигжид,[]
1234,Содура,2015,120,8.7,Б.Жаргалсайхан,Ю Би Эс телевиз Хаанаас үзэх вэ?
1240,3 найз: Яасан байх нь уу?,2015,100,9.3,Ч.Ганзориг,Кийстоун фильмс
1241,Хөгжилтэй өдөр,2015,87,6.7,Н.Ариунболд,Шинэ үе продакшн Хаанаас үзэх вэ?
1242,Учрал,2015,87,7.4,,Аурора фильмс Хаанаас үзэх вэ?
1243,Хар сувдны нууц,2015,87,6.8,Б.Тамир,Ф студи МИМ фильм Хаанаас үзэх вэ?
1244,Тооцоогүй тоглоом,2015,90,6.6,У.Уранчимэг,[]
1245,Ар хударга,2015,90,5.2,О.Эрдэнэ,Дашдоржийн Болдбаатар Хаанаас үзэх вэ?
1266,Анчид,2015,87,7,О.Дэмбэрэл,Юу Би бета интертайнмент Онч мэргэн продакшн
1273,Донор,2015,90,6.7,Ч.Батбаяр,Лоожикфильм (Logicfilm) Мазаалай фильм
